scenario,type,short_label,overlay_file,main_intervention_content,main_analytical_role,main_loop_channel,analytical_reading
SC0,Baseline,Baseline,,Closed-loop continuation without new policy perturbation,Baseline,Baseline,Reference pathway for all scenario comparisons.
SC1,Atomic,Demand smoothing,SC1_demand_smoothing.yaml,"Flex-time, selective telework, and staggered scheduling",Demand smoothing,L1-L2,Demand smoothing reduces activity concentration and delay; PT share can rise while PT trips fall because total demand contracts.
SC2,Atomic,Access charging,SC2_access_charging.yaml,Staged access charging in the traffic-plan zone,Access charging,"L2, L5, L4",Access charging changes private-car generalized cost and revenue recycling; the behavioral signal is strongest in Region 12.
SC3,Atomic,Parking and curb management,SC3_parking_curb_management.yaml,Staged parking and curb-management restraint in Region 12 with Tehran-scale spillover,Parking and curb management,"L1-L2, L4",Parking and curb management adds trip-end friction; weak alone at the Tehran scale but useful as a complement.
SC4,Atomic,Fare support,SC4_fare_support.yaml,Targeted support for bus and metro fares,Fare support,"L2-L3, L4",Fare support improves affordability and PT share but increases subsidy pressure.
SC5,Atomic,Public-transport service improvement,SC5_public_transport_service_improvement.yaml,"PT speed, access, network, fleet, and reliability support",Public-transport service improvement,"L3, L1, L4","PT service, access, speed and reliability support reduce car burden but raise service/OPEX and energy-resource implications."
SC6,Atomic,Local pollutant cleanup,SC6_local_pollutant_cleanup.yaml,"Cleaner combustion and local pollutant-intensity reduction for motorcycles, taxis, and buses",Local pollutant cleanup,L6,"Local pollutant cleanup directly reduces PM2.5 and NOx, especially in the core; modal effects reflect declared co-benefits and lags."
SC7,Atomic,Clean-fleet transition,SC7_clean_fleet_transition.yaml,Taxi- and bus-led EV uptake plus fleet renewal,Clean-fleet transition,"L6, L4","Taxi/bus electrification changes carrier composition, electricity, CAPEX/OPEX and tailpipe exposure, with little congestion effect."
SC8,Package,Balanced package,SC8_balanced_package.yaml,SC1 full + SC3 light + SC4 full + SC6 medium,Balanced package,L1-L2-L4-L6,"Balanced package: full demand smoothing + light parking/curb restraint + full targeted fare support + medium pollutant cleanup, with lower implementation burden than the more capital-intensive packages."
SC9,Package,Access-led package,SC9_access_led_package.yaml,SC2 full + SC3 light + SC4 medium + SC5 medium + SC6 light,Access-led package,L2-L3-L5-L6,"Access-led push-pull package; strongest core car suppression and revenue logic, but narrower clean-air breadth."
SC10,Package,PT-first clean package,SC10_pt_first_clean_package.yaml,SC4 full + SC5 full + SC6 strong + SC7 medium + SC3 light,PT-first clean package,L3-L6-L4,PT-first clean package; strongest core transport-environment pairing but high CAPEX/OPEX and subsidy demand.
SC11,Package,Broad package,SC11_broad_package.yaml,SC1 medium + SC2 medium + SC3 medium + SC5 full + SC6 medium + SC7 medium,Broad package,L1-L6,Broad integrated activation; strong multi-KPI effects but overlap and accumulated burden limit decision dominance.
